,Botanical,Common,Use
1,Abies webbiana leaf ,Talispatra ,"Carminative, expectorant "
2,Abroma augusta root ,Ulatkambal ,Uterine tonic 
3,Abrus precatorius seed ,Gunja ,Abortifacient
4,Abutilon indicum seed ,Kankati ,Aphrodisiac
5,Acacia arabica bark ,Babul ,Astringent
6,Acacia catechu gum ,Catechu ,Astringent
7,Acacia concinna pods ,Shikakai ,Detergent
8,Achillea millefolium seeds ,Gandana ,"Stimulant, Tonic "
9,Achyranthes aspera plant ,Apamarga ,"Alterative, Diuretic "
10,Aconitum heterophyllum plant ,Atis ,"Antiperiodic, Aphrodisiac "
11,Aconitum spp. root ,Bachnag ,Antipyretic
12,Acorus calamus rhizome ,Bach ,Antispasmodic
13,Adhatoda vasica leaf ,Adulsa ,Expectorant
14,Aegle marmelos leaf ,Bael ,Anti-diabetic
15,Aegle marmelos unripe fruit ,Bael ,"Haemostatic, Anti-dysentery "
16,Albizzia lebbeck bark ,Siris ,Anti-inflammatory
17,Allium cepa bulbs ,Onions ,Hypolipidemic Anticholesteremic
18,Allium sativum bulbs ,Garlic ,"Antilipemic, Anticholesteremic Antirheumatic "
19,Aloe vera leaf ,Ghrita kumari ,"Purgative, Anti-cancer "
20,Alpinia galanga rhizome ,Khulanjan ,In bronchial catarrhal
21,Alstonia scholaris bark ,Saptaparna ,"Alterative, Stimulant "
22,Anacyclus pyrethrum flowers ,Akarkara ,"Stimulant, Sialogogue "
23,Andrographis paniculata plant ,Kalmegh ,"Hepatoprotectant, Anti-viral "
24,Anethum sowa seed ,Suwa ,Carminative
25,Aphanamixis rohituka bark ,Rohitika ,Astringent
26,Apium graveolens seed ,Ajmod ,Carminative
27,Argyreia speciosa root ,Samudra palak ,"Alterative, Tonic "
28,Asparagus adscendens root ,Safed musli ,"Tonic, Galactogogue "
29,Asparagus racemosus root ,Shatavari ,"Galactogogue, Aphrodisiac "
30,Asphaltum ,Shilajit ,Detoxificant
31,Asteracantha longifolia herb ,Kuliakhara ,Antirheumatic
32,Atropa belladonna leaf ,Angurshefa ,"Antispasmodic, Sedative "
33,Atropa belladonna root ,Angurshefa ,"Antispasmodic, Sedative "
34,Azadirachta indica bark ,Neem ,Astringent
35,Azadirachta indica leaf ,Neem ,Blood purifier
36,Bacopa monnieri herb ,Nir brahmi ,Memory stimulant
37,Barleria prionitis herb ,Vajradanti ,"In Glandular swelling, Toothache "
38,Bauhinia variegata bark ,Kachnar ,"Alterative, Tonic "
39,Berberis aristata root ,Daru haridra ,"Emmenagogue, Cholagogue "
40,Bergenia ligulata root ,Pashanbheda ,In urinary calculi
41,Boerhaavia diffusa root ,Punarnava ,Diuretic
42,Boswellia serrata gum ,Shallaki ,Anti-arthritic
43,Butea frondosa flowers ,Palas ,Astringent
44,Caesalpinia bonducella nut ,Fevernut ,Antipyretic
45,Calotropis gigantea root ,Ak ,"Emetic, Antiperiodic "
46,Camellia sinensis ,Green tea ,Anti-oxidant
47,Capparis spinosa root ,Kabra ,"Analgesic, Antirheumatic "
48,Capsicum spp. fruit ,Lalmirch ,Antirheumatic
49,Cassia angustifolia leaf ,Senna ,Laxative
50,Cassia angustifolia pods ,Senna ,Laxative
51,Cassia fistula fruit ,Amaltas ,Laxative
52,Cassia occidentalis fruit ,Kasondi ,Purgative
53,Cedrus deodara wood ,Deodar ,Antirheumatic
54,Celastrus paniculatus seed ,Malkangni ,Antirheumatic
55,Centella asiatica ,Mandukparni ,"Leprostatic, Memory tonic "
56,Cephaelis ipecacuanha root ,Ipecac ,Emetic
57,Cephalandra indica leaf ,Bimba ,Anti-diabetic
58,Cicer arietinum seeds ,Chana ,Nutritive
59,Cichorium intybus seeds ,Kasni ,In enlarged spleen
60,Cinchona ledgeriana bark ,Cinchona ,Anti-malarial
61,Cissus quadrangularis stem ,Hadjora ,Bone healing
62,Citrullus colocynthis fruit ,Indrayan ,Purgative
63,Citrullus colocynthis root ,Indrayan ,"Purgative, Antirheumatic "
64,Citrus aurantium peel ,Common orange ,Anti-oxidant
65,Citrus medica peel ,Bijaura/Citron ,Anti-scurvy
66,Colchicum luteum corms ,Suranjane ,For gout
67,Coleus forskohlii root ,Coleus ,"cAMP stimulator, Hypotensive. "
